Month,Year,Full-time,Part-time,Grand Total
7,2004,1630,426,2056
8,2004,1691,407,2098
9,2004,1606,381,1987
10,2004,1606,373,1979
11,2004,1556,317,1873
12,2004,1542,300,1842
1,2005,1580,300,1880
2,2005,1606,304,1910
3,2005,1579,312,1891
4,2005,1575,299,1874
5,2005,1564,296,1860
6,2005,1588,307,1895
7,2005,1563,290,1853
8,2005,1558,281,1839
9,2005,1524,272,1796
10,2005,1516,269,1785
11,2005,1479,258,1737
12,2005,1442,256,1698
1,2006,1490,253,1743
2,2006,1478,234,1712
3,2006,1418,222,1640
4,2006,1393,220,1613
5,2006,1379,209,1588
6,2006,1384,173,1557
7,2006,1378,170,1548
8,2006,1371,164,1535
9,2006,1391,163,1554
10,2006,1406,159,1565
11,2006,1401,150,1551
12,2006,1359,146,1505
1,2007,1360,152,1512
2,2007,1356,171,1527
3,2007,1336,178,1514
4,2007,1334,175,1509
5,2007,1344,167,1511
6,2007,1362,164,1526
7,2007,1375,168,1543
8,2007,1386,166,1552
9,2007,1373,172,1545
10,2007,1417,161,1578
11,2007,1333,109,1442
12,2007,1309,103,1412
1,2008,1196,5,1201
2,2008,1171,4,1175
3,2008,1157,4,1161
4,2008,1151,4,1155
5,2008,1137,4,1141
6,2008,1094,4,1098
7,2008,1060,4,1064
8,2008,1037,3,1040
9,2008,988,5,993
10,2008,981,5,986
11,2008,992,5,997
12,2008,985,5,990
1,2009,959,5,964
2,2009,977,5,982
3,2009,975,5,980
4,2009,977,4,981
5,2009,989,4,993
6,2009,984,4,988
7,2009,982,4,986
8,2009,990,4,994
9,2009,995,3,998
10,2009,969,2,971
11,2009,965,3,968
12,2009,963,3,966
1,2010,957,3,960
2,2010,952,3,955
3,2010,965,0,965
4,2010,969,3,972
5,2010,989,2,991
6,2010,988,2,990
7,2010,1011,2,1013
8,2010,1008,3,1011
9,2010,997,3,1000
10,2010,996,3,999
11,2010,996,3,999
12,2010,993,3,996
1,2011,991,2,993
2,2011,988,2,990
3,2011,996,2,998
4,2011,990,1,991
5,2011,1008,1,1009
6,2011,1009,1,1010
7,2011,1011,1,1012
8,2011,1025,1,1026
9,2011,1048,2,1050
10,2011,1039,2,1041
11,2011,1038,2,1040
12,2011,1040,1,1041
1,2012,1058,1,1059
2,2012,1055,2,1057
3,2012,1057,2,1059
4,2012,1050,2,1052
5,2012,1071,2,1073
6,2012,1086,2,1088
7,2012,1083,2,1085
8,2012,1070,2,1072
9,2012,1072,2,1074
10,2012,1088,2,1090
11,2012,1089,1,1090
12,2012,1087,1,1088
1,2013,1077,2,1079
2,2013,1079,2,1081
3,2013,1066,2,1068
4,2013,1062,2,1064
5,2013,1069,2,1071
6,2013,1071,2,1073
7,2013,1061,2,1063
8,2013,1065,2,1067
9,2013,1074,1,1075
10,2013,1096,1,1097
11,2013,1101,1,1102
12,2013,1119,1,1120
1,2014,1165,1,1166
2,2014,1225,3,1228
3,2014,1309,3,1312
4,2014,1336,3,1339
5,2014,1387,3,1390
6,2014,1422,3,1425
7,2014,1501,0,1501
8,2014,1538,4,1542
9,2014,1572,4,1576
10,2014,1634,3,1637
11,2014,1717,3,1720
12,2014,1797,4,1801
1,2015,1797,4,1801
2,2015,1953,5,1958
3,2015,2066,4,2070
4,2015,2139,4,2143
5,2015,2174,5,2179
6,2015,2204,12,2216
7,2015,2279,4,2283
8,2015,2294,4,2298
9,2015,2293,4,2297
10,2015,2354,3,2357
11,2015,2392,4,2396
12,2015,2451,5,2456
1,2016,2494,3,2497
2,2016,2527,4,2531
3,2016,2548,4,2552
4,2016,2571,4,2575
5,2016,2583,4,2587
6,2016,2595,4,2599
7,2016,2618,4,2622
8,2016,2629,4,2633
9,2016,2657,5,2662
10,2016,2706,5,2711
11,2016,2733,5,2738
12,2016,2769,5,2774
1,2017,2812,5,2817
2,2017,2850,7,2857
3,2017,2866,7,2873
4,2017,2900,8,2908
5,2017,2906,8,2914
6,2017,2958,8,2966
7,2017,3053,8,3061
8,2017,3104,8,3112
9,2017,3138,6,3144
10,2017,3215,7,3222
11,2017,3310,8,3318
12,2017,3391,7,3398
1,2018,3515,7,3522
2,2018,3559,7,3566
3,2018,3612,6,3618
4,2018,3673,4,3677
5,2018,3677,6,3683
6,2018,3744,7,3751
7,2018,3844,6,3850
8,2018,3893,7,3900
9,2018,4007,7,4014
10,2018,4066,9,4075
11,2018,4114,8,4122
12,2018,4085,7,4092
1,2019,4112,9,4121
2,2019,4142,8,4150
3,2019,4120,8,4128
4,2019,4181,8,4189
5,2019,4211,8,4219
6,2019,4282,8,4290
7,2019,4406,8,4414
8,2019,4472,8,4480
9,2019,4605,8,4613
10,2019,4676,8,4684
11,2019,4740,8,4748
12,2019,4705,8,4713
1,2020,4758,8,4766
2,2020,4802,8,4810
3,2020,4662,8,4670
4,2020,4301,5,4306
5,2020,4587,0,4587
6,2020,4524,0,4524
7,2020,4619,0,4619
8,2020,4573,0,4573
9,2020,4618,0,4618
10,2020,3493,0,3493
11,2020,3373,0,3373
12,2020,4189,0,4189
1,2021,4252,0,4252
2,2021,4308,0,4308
3,2021,4328,0,4328
4,2021,4389,0,4389
5,2021,4512,0,4512
6,2021,4540,0,4540
7,2021,4523,0,4523
8,2021,4529,0,4529
9,2021,4606,0,4606
10,2021,4539,0,4539
11,2021,4546,0,4546
12,2021,4378,0,4378
1,2022,4434,0,4434
2,2022,4443,0,4443
3,2022,4323,0,4323
4,2022,4256,0,4256
5,2022,4259,0,4259
6,2022,4476,0,4476
7,2022,4267,0,4267
8,2022,4250,0,4250
9,2022,4250,0,4250
10,2022,4262,0,4262
11,2022,4241,0,4241
12,2022,4204,0,4204
1,2023,4167,0,4167
2,2023,4095,0,4095
3,2023,4057,0,4057
4,2023,3997,0,3997
5,2023,3946,0,3946
6,2023,3900,0,3900
7,2023,3993,0,3993
8,2023,4069,0,4069
9,2023,4143,0,4143
10,2023,4220,0,4220
11,2023,4265,0,4265
