Month,Year,Full-time,Part-time,Grand Total
10,2005,141,0,141
11,2005,185,2,187
12,2005,244,3,247
1,2006,311,3,314
3,2006,394,4,398
4,2006,453,9,462
5,2006,537,11,548
6,2006,556,8,564
7,2006,555,11,566
8,2006,577,9,586
9,2006,596,10,606
10,2006,584,11,595
11,2006,635,10,645
12,2006,662,15,677
1,2007,666,21,687
2,2007,773,22,795
3,2007,833,23,856
4,2007,909,23,932
5,2007,913,22,935
6,2007,1007,24,1031
7,2007,985,25,1010
8,2007,1036,22,1058
9,2007,1102,20,1122
10,2007,1137,22,1159
11,2007,1212,23,1235
1,2008,1322,26,1348
2,2008,680,19,699
3,2008,680,19,699
4,2008,1464,25,1489
5,2008,1464,25,1489
6,2008,1337,26,1363
7,2008,1254,28,1282
8,2008,1254,30,1284
9,2008,1288,30,1318
10,2008,1278,28,1306
11,2008,1407,31,1438
12,2008,1403,29,1432
1,2009,1403,29,1432
2,2009,1458,38,1496
3,2009,1458,38,1496
4,2009,1414,35,1449
5,2009,1443,35,1478
6,2009,1480,35,1515
7,2009,1538,37,1575
8,2009,1576,38,1614
9,2009,1656,38,1694
10,2009,633,237,870
11,2009,2627,475,3102
12,2009,2440,468,2908
1,2010,1881,70,1951
2,2010,1889,72,1961
3,2010,1939,69,2008
4,2010,2017,63,2080
5,2010,2023,68,2091
6,2010,2044,68,2112
7,2010,2056,73,2129
8,2010,1936,75,2011
9,2010,2039,75,2114
10,2010,1970,70,2040
11,2010,2067,73,2140
12,2010,2069,71,2140
1,2011,2088,77,2165
2,2011,2107,77,2184
3,2011,2157,76,2233
4,2011,2158,76,2234
5,2011,2139,80,2219
6,2011,2120,80,2200
7,2011,2097,76,2173
8,2011,2062,79,2141
9,2011,2042,82,2124
10,2011,1987,81,2068
11,2011,1934,75,2009
12,2011,1911,75,1986
1,2012,1931,70,2001
2,2012,1943,68,2011
3,2012,1949,69,2018
4,2012,1848,62,1910
5,2012,1873,60,1933
6,2012,1884,65,1949
7,2012,1910,64,1974
8,2012,1953,68,2021
9,2012,1977,69,2046
10,2012,2022,69,2091
11,2012,2080,69,2149
12,2012,2100,74,2174
1,2013,2121,77,2198
2,2013,2188,76,2264
3,2013,2236,74,2310
4,2013,2256,77,2333
5,2013,2275,77,2352
6,2013,2299,89,2388
7,2013,2371,84,2455
8,2013,2427,88,2515
9,2013,2504,84,2588
10,2013,2561,78,2639
11,2013,2593,79,2672
12,2013,2608,78,2686
1,2014,2707,79,2786
2,2014,2712,80,2792
3,2014,2726,81,2807
4,2014,2780,82,2862
5,2014,2852,82,2934
6,2014,2870,84,2954
7,2014,2897,90,2987
8,2014,2908,91,2999
9,2014,2961,95,3056
10,2014,2996,93,3089
11,2014,3019,94,3113
12,2014,3075,94,3169
1,2015,3093,95,3188
2,2015,3105,89,3194
3,2015,3115,89,3204
4,2015,3122,95,3217
5,2015,3161,97,3258
6,2015,3110,115,3225
7,2015,3090,117,3207
8,2015,3050,114,3164
9,2015,3007,118,3125
10,2015,3045,116,3161
11,2015,3039,115,3154
12,2015,3070,107,3177
1,2016,3078,110,3188
2,2016,3093,108,3201
3,2016,3222,107,3329
4,2016,3275,102,3377
5,2016,3345,98,3443
6,2016,3485,98,3583
7,2016,3494,95,3589
8,2016,3652,107,3759
9,2016,3661,111,3772
10,2016,3938,117,4055
11,2016,3898,121,4019
12,2016,3896,127,4023
1,2017,5420,192,5612
2,2017,5412,196,5608
3,2017,5385,191,5576
4,2017,5354,189,5543
5,2017,5423,192,5615
6,2017,5427,187,5614
7,2017,5469,189,5658
8,2017,5526,185,5711
9,2017,5556,173,5729
10,2017,5606,169,5775
11,2017,5540,170,5710
12,2017,5555,163,5718
1,2018,5328,194,5522
2,2018,5513,188,5701
3,2018,5486,182,5668
4,2018,5531,181,5712
5,2018,5602,187,5789
6,2018,5620,239,5859
7,2018,5692,236,5928
8,2018,5701,231,5932
9,2018,5720,271,5991
10,2018,5762,281,6043
11,2018,5760,281,6041
12,2018,5767,273,6040
1,2019,5776,295,6071
2,2019,5751,299,6050
3,2019,5744,294,6038
4,2019,5869,287,6156
5,2019,5925,284,6209
6,2019,5831,311,6142
7,2019,5885,308,6193
8,2019,5877,300,6177
9,2019,5973,300,6273
10,2019,6038,293,6331
11,2019,6071,295,6366
12,2019,6070,290,6360
1,2020,6103,340,6443
2,2020,6164,331,6495
3,2020,6195,324,6519
4,2020,6018,328,6346
5,2020,6003,316,6319
6,2020,5955,314,6269
7,2020,5801,311,6112
8,2020,5757,306,6063
9,2020,5708,299,6007
10,2020,5535,282,5817
11,2020,5511,278,5789
12,2020,5480,274,5754
1,2021,5397,265,5662
2,2021,5329,254,5583
3,2021,5307,243,5550
4,2021,5245,254,5499
5,2021,5326,258,5584
6,2021,5496,249,5745
7,2021,5647,220,5867
8,2021,5716,219,5935
9,2021,5804,214,6018
10,2021,5819,218,6037
11,2021,5928,217,6145
12,2021,5862,214,6076
1,2022,5955,263,6218
2,2022,6024,256,6280
3,2022,6004,253,6257
4,2022,5949,254,6203
5,2022,5996,250,6246
6,2022,6107,241,6348
7,2022,6072,237,6309
8,2022,6011,228,6239
9,2022,5931,232,6163
10,2022,5904,224,6128
11,2022,5846,224,6070
12,2022,5737,214,5951
1,2023,5719,231,5950
2,2023,5667,232,5899
3,2023,5623,222,5845
4,2023,5495,218,5713
5,2023,5470,207,5677
6,2023,5443,215,5658
7,2023,5391,207,5598
8,2023,5325,221,5546
9,2023,5327,223,5550
10,2023,5373,220,5593
11,2023,5345,220,5565
